                                     | Core 0    
  Instructions                       |    1358045
  Cycles                             |    3718926
  IPC                                |       0.37
  Time (ns)                          |    1398093
  Idle time (ns)                     |      96116
  Idle time (%)                      |       6.9%
Branch predictor stats               |           
  num correct                        |     104004
  num incorrect                      |         10
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     211016
    num cache misses                 |         13
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     936053
    num cache misses                 |         10
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         23
  average dram access latency (ns)   |     124.57
  average dram queueing delay        |      71.14
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
